Change Component Footprint: Designator=P5 Old Footprint=691321300007 New Footprint=691243310007
Change Component Comment : Designator=P5 Old Comment=691321300007 New Comment=691243310007
Change component parameters: Designator = "P5" ("P5"); Footprint = "691321300007"; UniqueID = "\XOQHSPHN" ("\XOQHSPHN")
Change component parameters (AddParameter): Name = "Application"; Value = "Rising Cage Clamp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.de"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://katalog.we-online.de/em/datasheet/691243310007.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "691243310007"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modularity"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "THT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-30 to +120degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Box"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB/Cable/Panel"; Value = "PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Number"; Value = "7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "3.81mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published Date"; Value = "Feburary 2021"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Current [UL]"; Value = "10A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Voltage [UL]"; Value = "300VAC"; VariantName = "[No Variations]"
